id;start_date;end_date;language
d225c812-aa95-4a1b-b5a1-3f3e8df10cf6;2024-04-05T21:38:57;2024-04-05T23:50:31;FRENCH
f728706c-a603-4b05-aad9-b1c4d4734458;2024-04-05T12:23:37;2024-04-05T00:52:10;FRENCH
aa501c8d-7254-42d0-8800-5e2f001d2848;2024-04-05T21:32:01;2024-04-05T02:16:31;FRENCH
a04bc76d-c06c-4d7c-aff8-ea7afd4139e3;2024-04-05T20:50:14;2024-04-05T10:27:38;ENGLISH
6ec99cf7-ec05-428f-99f0-79ac55efb45e;2024-04-05T01:52:02;2024-04-05T01:24:54;FRENCH
62b23b97-21a3-4754-8d64-6cbe28f45b17;2024-04-05T13:27:49;2024-04-05T11:19:58;ENGLISH
3fc08dcd-fc49-4286-867b-4d7cd76e2472;2024-04-05T08:37:59;2024-04-05T11:48:11;ENGLISH
c4f58086-2954-4510-be6e-ad5060ce5f75;2024-04-05T04:45:27;2024-04-05T10:25:05;ENGLISH
7f83af34-57ce-4920-92cc-910a5be7325c;2024-04-05T20:55:34;2024-04-05T03:47:15;ENGLISH
ce88ff18-699c-4ab1-9953-0f4181c3c534;2024-04-05T16:25:03;2024-04-05T15:10:06;ENGLISH
