id;country_name
5b3ed7ba-2006-4783-a5ef-c3134b826a10;virtual Northwest female
a75d1f88-a87e-4435-a447-9d396c876b75;reboot
143bdba2-f04b-46bf-b322-9068d5a3682e;Yorba
3b5e4f22-f7d2-4d14-8c29-e923ab0819c6;phooey efficient
781736f1-c608-4107-8448-f70025026623;West
1a0942b8-1048-4ce7-bb9d-212a8f05ca75;North anaesthetize
f1583b04-9b0d-43ce-b932-b6978f393f91;green
7f4b8552-c7aa-42f9-9d42-e1a3c80afaff;Martin
5f8b7f77-ae87-4264-9a4b-ad2e71fc7f73;migration programming
c4fd8ac8-2d25-404c-b58d-22f149ba5fc8;visualize Interactions Electric
